id,trial,inventory,first,second,success,results,t
8,22,22,1,2,1,[5],0
8,23,22,3,5,1,-1,0
8,24,22,2,563,1,-1,0
8,25,23,0,0,1,[478],0
8,26,24,478,478,1,[329],0
8,27,25,0,329,1,[514],0
8,28,26,514,514,1,[8],0
8,29,27,0,8,1,[9],0
8,30,27,8,8,1,-1,0
8,31,27,0,514,1,-1,0
8,32,27,329,329,1,-1,0
8,33,27,9,9,1,-1,0
8,34,27,0,478,1,-1,0
8,35,27,27,514,1,-1,0
8,36,27,8,27,1,-1,0
8,37,27,9,27,1,-1,0
8,38,28,2,5,1,[7],0
8,39,30,6,7,1,"[25, 20]",0
8,40,32,31,35,1,"[184, 286]",0
8,41,33,19,71,1,[150],0
8,42,34,0,563,1,[4],0
8,43,34,31,31,1,-1,0
8,44,35,0,5,1,[356],0
8,45,35,0,1,1,-1,0
8,46,36,2,578,1,[579],0
8,47,37,579,579,1,[247],0
8,48,38,1,247,1,[107],0
8,49,39,3,247,1,[162],0
9,0,5,3,3,1,[6],0
9,1,6,2,6,1,[26],0
9,2,7,1,26,1,[35],0
9,3,8,26,26,1,[246],0
9,4,9,246,246,1,[71],0
9,5,10,26,35,1,[54],0
9,6,11,35,54,1,[148],0
9,7,12,3,6,1,[19],0
9,8,13,2,26,1,[578],0
9,9,13,2,2,1,-1,0
9,10,14,3,26,1,[27],0
9,11,14,19,26,1,-1,0
9,12,15,1,27,1,[31],0
9,13,16,1,1,1,[10],0
9,14,17,3,10,1,[563],0
9,15,17,26,563,1,-1,0
9,16,17,27,563,1,-1,0
9,17,18,27,578,1,[100],0
9,18,18,27,27,1,-1,0
9,19,19,2,563,1,[5],0
9,20,19,3,5,1,-1,0
9,21,20,71,71,1,[256],0
9,22,21,256,256,1,[302],0
9,23,22,0,27,1,[106],0
9,24,22,1,2,1,-1,0
9,25,23,0,0,1,[478],0
9,26,24,478,478,1,[329],0
9,27,25,329,329,1,[514],0
9,28,26,514,514,1,[8],0
9,29,27,0,8,1,[9],0
9,30,27,8,8,1,-1,0
9,31,27,0,514,1,-1,0
9,32,27,0,329,1,-1,0
9,33,27,9,9,1,-1,0
9,34,27,0,478,1,-1,0
9,35,27,9,27,1,-1,0
9,36,27,8,27,1,-1,0
9,37,27,27,514,1,-1,0
9,38,28,2,5,1,[7],0
9,39,30,6,7,1,"[25, 20]",0
9,40,32,31,35,1,"[184, 286]",0
9,41,33,2,578,1,[579],0
9,42,34,579,579,1,[247],0
9,43,35,1,247,1,[107],0
9,44,36,3,247,1,[162],0
9,45,38,107,162,1,"[532, 21]",0
9,46,38,1,21,1,-1,0
9,47,38,3,162,1,-1,0
9,48,38,162,162,1,-1,0
9,49,38,3,21,1,-1,0
