model,trial,step,inventory_size
true_emp,17,2,5
true_emp,17,3,6
true_emp,17,4,7
true_emp,17,5,8
true_emp,17,6,9
true_emp,17,7,10
true_emp,17,8,11
true_emp,17,9,12
true_emp,17,10,13
true_emp,17,11,14
true_emp,17,12,14
true_emp,17,13,14
true_emp,17,14,15
true_emp,17,15,16
true_emp,17,16,17
true_emp,17,17,17
true_emp,17,18,17
true_emp,17,19,18
true_emp,17,20,18
true_emp,17,21,19
true_emp,17,22,20
true_emp,17,23,21
true_emp,17,24,22
true_emp,17,25,22
true_emp,17,26,22
true_emp,17,27,23
true_emp,17,28,24
true_emp,17,29,25
true_emp,17,30,26
true_emp,17,31,27
true_emp,17,32,27
true_emp,17,33,27
true_emp,17,34,27
true_emp,17,35,27
true_emp,17,36,27
true_emp,17,37,27
true_emp,17,38,27
true_emp,17,39,27
true_emp,17,40,28
true_emp,17,41,29
true_emp,17,42,31
true_emp,17,43,32
true_emp,17,44,33
true_emp,17,45,34
true_emp,17,46,35
true_emp,17,47,36
true_emp,17,48,37
true_emp,17,49,37
true_emp,17,50,37
true_emp,17,51,37
true_emp,18,1,inventory_size
true_emp,18,2,5
true_emp,18,3,6
true_emp,18,4,7
true_emp,18,5,8
true_emp,18,6,9
true_emp,18,7,10
true_emp,18,8,11
true_emp,18,9,12
true_emp,18,10,13
true_emp,18,11,14
true_emp,18,12,14
true_emp,18,13,15
true_emp,18,14,15
true_emp,18,15,16
true_emp,18,16,17
true_emp,18,17,17
true_emp,18,18,17
true_emp,18,19,18
true_emp,18,20,18
true_emp,18,21,19
true_emp,18,22,20
true_emp,18,23,21
true_emp,18,24,22
true_emp,18,25,22
true_emp,18,26,22
true_emp,18,27,23
true_emp,18,28,24
true_emp,18,29,25
true_emp,18,30,26
true_emp,18,31,27
true_emp,18,32,27
true_emp,18,33,27
true_emp,18,34,27
true_emp,18,35,27
true_emp,18,36,27
true_emp,18,37,27
true_emp,18,38,27
true_emp,18,39,27
true_emp,18,40,28
true_emp,18,41,29
true_emp,18,42,31
true_emp,18,43,32
true_emp,18,44,33
true_emp,18,45,34
true_emp,18,46,35
true_emp,18,47,36
true_emp,18,48,36
true_emp,18,49,36
true_emp,18,50,36
true_emp,18,51,36
true_emp,19,1,inventory_size
true_emp,19,2,5
true_emp,19,3,6
true_emp,19,4,7
true_emp,19,5,8
true_emp,19,6,9
true_emp,19,7,10
true_emp,19,8,11
true_emp,19,9,12
true_emp,19,10,13
true_emp,19,11,14
true_emp,19,12,14
true_emp,19,13,14
true_emp,19,14,15
true_emp,19,15,16
true_emp,19,16,17
true_emp,19,17,17
true_emp,19,18,17
true_emp,19,19,18
true_emp,19,20,19
true_emp,19,21,20
true_emp,19,22,20
true_emp,19,23,21
true_emp,19,24,22
true_emp,19,25,22
true_emp,19,26,22
true_emp,19,27,23
true_emp,19,28,24
true_emp,19,29,25
true_emp,19,30,26
true_emp,19,31,26
true_emp,19,32,27
true_emp,19,33,27
true_emp,19,34,27
true_emp,19,35,27
true_emp,19,36,27
true_emp,19,37,27
true_emp,19,38,27
true_emp,19,39,27
true_emp,19,40,28
true_emp,19,41,29
true_emp,19,42,31
true_emp,19,43,32
true_emp,19,44,32
true_emp,19,45,33
true_emp,19,46,34
true_emp,19,47,35
true_emp,19,48,36
true_emp,19,49,37
true_emp,19,50,38
true_emp,19,51,38
true_emp,20,1,inventory_size
true_emp,20,2,5
true_emp,20,3,6
true_emp,20,4,7
true_emp,20,5,8
true_emp,20,6,9
true_emp,20,7,10
true_emp,20,8,11
true_emp,20,9,12
true_emp,20,10,13
true_emp,20,11,13
true_emp,20,12,14
true_emp,20,13,14
true_emp,20,14,15
true_emp,20,15,16
true_emp,20,16,17
true_emp,20,17,17
true_emp,20,18,17
true_emp,20,19,18
true_emp,20,20,18
true_emp,20,21,19
true_emp,20,22,20
true_emp,20,23,21
true_emp,20,24,21
true_emp,20,25,22
true_emp,20,26,22
true_emp,20,27,23
true_emp,20,28,24
true_emp,20,29,25
true_emp,20,30,26
true_emp,20,31,27
true_emp,20,32,27
true_emp,20,33,27
true_emp,20,34,27
true_emp,20,35,27
true_emp,20,36,27
true_emp,20,37,27
true_emp,20,38,27
true_emp,20,39,27
true_emp,20,40,28
true_emp,20,41,29
true_emp,20,42,31
true_emp,20,43,32
true_emp,20,44,33
true_emp,20,45,34
true_emp,20,46,35
true_emp,20,47,36
true_emp,20,48,36
true_emp,20,49,36
true_emp,20,50,36
true_emp,20,51,36
