model,trial,step,inventory_size
with_fallback,11,30,32
with_fallback,11,31,33
with_fallback,11,32,34
with_fallback,11,33,35
with_fallback,11,34,36
with_fallback,11,35,37
with_fallback,11,36,38
with_fallback,11,37,39
with_fallback,11,38,39
with_fallback,11,39,39
with_fallback,11,40,39
with_fallback,11,41,40
with_fallback,11,42,41
with_fallback,11,43,41
with_fallback,11,44,42
with_fallback,11,45,43
with_fallback,11,46,45
with_fallback,11,47,45
with_fallback,11,48,47
with_fallback,11,49,48
with_fallback,11,50,48
with_fallback,12,1,5
with_fallback,12,2,6
with_fallback,12,3,7
with_fallback,12,4,8
with_fallback,12,5,9
with_fallback,12,6,10
with_fallback,12,7,11
with_fallback,12,8,12
with_fallback,12,9,13
with_fallback,12,10,14
with_fallback,12,11,15
with_fallback,12,12,16
with_fallback,12,13,16
with_fallback,12,14,17
with_fallback,12,15,19
with_fallback,12,16,20
with_fallback,12,17,22
with_fallback,12,18,23
with_fallback,12,19,24
with_fallback,12,20,24
with_fallback,12,21,25
with_fallback,12,22,25
with_fallback,12,23,26
with_fallback,12,24,26
with_fallback,12,25,26
with_fallback,12,26,27
with_fallback,12,27,28
with_fallback,12,28,29
with_fallback,12,29,30
with_fallback,12,30,31
with_fallback,12,31,32
with_fallback,12,32,33
with_fallback,12,33,34
with_fallback,12,34,35
with_fallback,12,35,36
with_fallback,12,36,37
with_fallback,12,37,37
with_fallback,12,38,38
with_fallback,12,39,39
with_fallback,12,40,39
with_fallback,12,41,40
with_fallback,12,42,41
with_fallback,12,43,42
with_fallback,12,44,44
with_fallback,12,45,44
with_fallback,12,46,45
with_fallback,12,47,45
with_fallback,12,48,47
with_fallback,12,49,48
with_fallback,12,50,48
with_fallback,13,1,5
with_fallback,13,2,6
with_fallback,13,3,7
with_fallback,13,4,8
with_fallback,13,5,9
with_fallback,13,6,10
with_fallback,13,7,11
with_fallback,13,8,12
with_fallback,13,9,13
with_fallback,13,10,14
with_fallback,13,11,15
